Ativo,Grupo,Ano,Config,Regime,Retorno_%,BH_%,DD_%,Trades
BTCUSDT,veterana,2025,DEFENSIVO,BULL,13.05,26.05,15.18,6
BTCUSDT,veterana,2025,EQUILIBRADO,BULL,-6.05,26.05,28.31,6
BTCUSDT,veterana,2025,AGRESSIVO,BULL,-15.33,26.05,28.31,6
DOGEUSDT,veterana,2019,DEFENSIVO,BEAR,-7.59,-55.16,13.85,2
DOGEUSDT,veterana,2019,EQUILIBRADO,BEAR,-34.91,-55.16,34.91,2
DOGEUSDT,veterana,2019,AGRESSIVO,BEAR,-34.91,-55.16,34.91,2
DOGEUSDT,veterana,2020,DEFENSIVO,BULL,174.95,131.97,38.38,5
DOGEUSDT,veterana,2020,EQUILIBRADO,BULL,45.12,131.97,11.52,5
DOGEUSDT,veterana,2020,AGRESSIVO,BULL,41.83,131.97,6.39,6
DOGEUSDT,veterana,2021,DEFENSIVO,BULL,2065.33,3545.43,57.72,8
DOGEUSDT,veterana,2021,EQUILIBRADO,BULL,54.97,3545.43,64.39,4
DOGEUSDT,veterana,2021,AGRESSIVO,BULL,21.6,3545.43,64.39,4
DOGEUSDT,veterana,2022,DEFENSIVO,BEAR,-51.53,-58.75,60.08,13
DOGEUSDT,veterana,2022,EQUILIBRADO,BEAR,-52.84,-58.75,61.69,2
DOGEUSDT,veterana,2022,AGRESSIVO,BEAR,-52.84,-58.75,61.69,2
DOGEUSDT,veterana,2023,DEFENSIVO,BULL,52.52,27.49,23.97,7
DOGEUSDT,veterana,2023,EQUILIBRADO,BULL,8.25,27.49,46.44,2
DOGEUSDT,veterana,2023,AGRESSIVO,BULL,12.39,27.49,33.18,4
DOGEUSDT,veterana,2024,DEFENSIVO,BULL,49.25,252.84,45.22,7
DOGEUSDT,veterana,2024,EQUILIBRADO,BULL,-39.27,252.84,59.99,5
DOGEUSDT,veterana,2024,AGRESSIVO,BULL,-43.89,252.84,59.99,5
DOGEUSDT,veterana,2025,DEFENSIVO,BEAR,-0.54,-29.14,31.08,4
DOGEUSDT,veterana,2025,EQUILIBRADO,BEAR,-21.59,-29.14,54.45,4
DOGEUSDT,veterana,2025,AGRESSIVO,BEAR,-34.62,-29.14,54.45,4
ETHUSDT,veterana,2018,DEFENSIVO,BEAR,-12.65,-71.19,28.44,4
ETHUSDT,veterana,2018,EQUILIBRADO,BEAR,-9.07,-71.19,26.03,1
ETHUSDT,veterana,2018,AGRESSIVO,BEAR,-1.2,-71.19,26.03,2
ETHUSDT,veterana,2019,DEFENSIVO,LATERAL,26.89,-1.74,32.86,8
ETHUSDT,veterana,2019,EQUILIBRADO,LATERAL,5.64,-1.74,44.87,6
ETHUSDT,veterana,2019,AGRESSIVO,LATERAL,-18.0,-1.74,43.74,6
ETHUSDT,veterana,2020,DEFENSIVO,BULL,269.05,470.16,35.3,5
ETHUSDT,veterana,2020,EQUILIBRADO,BULL,75.07,470.16,27.37,5
ETHUSDT,veterana,2020,AGRESSIVO,BULL,53.02,470.16,27.37,6
ETHUSDT,veterana,2021,DEFENSIVO,BULL,20.3,399.2,34.71,5
