Ativo,Grupo,Ano,Config,Regime,Retorno_%,BH_%,DD_%,Trades
XRPUSDT,veterana,2023,AGRESSIVO,BULL,62.06,81.65,16.89,5
XRPUSDT,veterana,2024,DEFENSIVO,BULL,121.77,238.52,51.18,12
XRPUSDT,veterana,2024,EQUILIBRADO,BULL,-32.02,238.52,51.27,5
XRPUSDT,veterana,2024,AGRESSIVO,BULL,-19.57,238.52,49.57,6
XRPUSDT,veterana,2025,DEFENSIVO,BULL,-19.97,50.12,61.59,8
XRPUSDT,veterana,2025,EQUILIBRADO,BULL,54.19,50.12,36.67,1
XRPUSDT,veterana,2025,AGRESSIVO,BULL,41.46,50.12,36.14,1
ZECUSDT,nova,2019,DEFENSIVO,BEAR,22.52,-52.92,17.28,11
ZECUSDT,nova,2019,EQUILIBRADO,BEAR,-25.7,-52.92,40.02,8
ZECUSDT,nova,2019,AGRESSIVO,BEAR,-10.97,-52.92,31.14,9
ZECUSDT,nova,2020,DEFENSIVO,BULL,51.74,132.23,31.85,28
ZECUSDT,nova,2020,EQUILIBRADO,BULL,103.5,132.23,28.49,14
ZECUSDT,nova,2020,AGRESSIVO,BULL,28.84,132.23,32.23,15
ZECUSDT,nova,2021,DEFENSIVO,BULL,142.19,129.05,51.09,16
ZECUSDT,nova,2021,EQUILIBRADO,BULL,2.25,129.05,50.06,12
ZECUSDT,nova,2021,AGRESSIVO,BULL,-55.18,129.05,71.29,14
ZECUSDT,nova,2022,DEFENSIVO,BEAR,-28.31,-74.54,44.91,16
ZECUSDT,nova,2022,EQUILIBRADO,BEAR,-53.19,-74.54,63.61,11
ZECUSDT,nova,2022,AGRESSIVO,BEAR,-60.47,-74.54,64.14,12
ZECUSDT,nova,2023,DEFENSIVO,BEAR,-41.13,-27.83,44.87,18
ZECUSDT,nova,2023,EQUILIBRADO,BEAR,-33.97,-27.83,54.38,6
ZECUSDT,nova,2023,AGRESSIVO,BEAR,-35.68,-27.83,54.38,7
ZECUSDT,nova,2024,DEFENSIVO,BULL,-36.9,109.03,62.99,26
ZECUSDT,nova,2024,EQUILIBRADO,BULL,-68.84,109.03,75.13,11
ZECUSDT,nova,2024,AGRESSIVO,BULL,-66.01,109.03,71.96,13
ZECUSDT,nova,2025,DEFENSIVO,BEAR,-10.02,-28.05,30.56,11
ZECUSDT,nova,2025,EQUILIBRADO,BEAR,-3.92,-28.05,37.93,4
ZECUSDT,nova,2025,AGRESSIVO,BEAR,-33.26,-28.05,50.2,7
