Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Trades_Base,Retorno_Reentry_%,DD_Reentry_%,Trades_Reentry
LINKUSDT,veterana,2022,BEAR,-71.44,-53.9,59.93,15,-53.9,59.93,15
LINKUSDT,veterana,2023,BULL,168.0,118.41,24.35,14,118.41,24.35,14
LINKUSDT,veterana,2024,BULL,33.92,-7.43,45.4,17,8.7,39.49,17
LINKUSDT,veterana,2025,LATERAL,-18.63,-25.22,34.41,7,-25.22,34.41,7
PENGUUSDT,nova,2024,BULL,887.44,0.0,0.0,0,0.0,0.0,0
PENGUUSDT,nova,2025,LATERAL,0.85,-1.56,44.18,11,1.11,42.67,11
PEPEUSDT,nova,2023,BEAR,-34.01,106.41,28.02,9,104.63,28.02,9
PEPEUSDT,nova,2024,BULL,1435.38,702.48,58.64,25,784.96,55.46,25
PEPEUSDT,nova,2025,BEAR,-46.49,16.59,40.51,11,14.41,41.62,11
RENDERUSDT,nova,2024,LATERAL,-3.39,51.06,18.99,8,48.59,18.99,8
RENDERUSDT,nova,2025,BEAR,-47.1,7.46,28.95,11,7.46,28.95,11
SOLUSDT,veterana,2020,BEAR,-47.11,-12.42,26.47,1,-12.42,26.47,1
SOLUSDT,veterana,2021,BULL,11166.57,5446.63,47.3,9,5446.63,47.3,9
SOLUSDT,veterana,2022,BEAR,-94.14,-59.09,70.01,12,-59.09,70.01,12
SOLUSDT,veterana,2023,BULL,920.26,604.07,33.84,9,604.07,33.84,9
SOLUSDT,veterana,2024,BULL,86.11,-10.14,35.14,7,-13.45,35.14,7
SOLUSDT,veterana,2025,LATERAL,-14.05,-3.7,33.63,6,-3.7,33.63,6
SUIUSDT,nova,2023,BULL,675.2,10.96,20.79,6,10.96,20.79,6
SUIUSDT,nova,2024,BULL,431.73,8.15,39.4,19,7.96,39.4,19
SUIUSDT,nova,2025,LATERAL,-14.22,11.18,31.09,9,15.87,32.8,9
TAOUSDT,nova,2024,LATERAL,0.27,44.33,25.63,11,52.95,25.63,11
TAOUSDT,nova,2025,LATERAL,-20.63,29.93,23.21,13,41.88,23.83,13
TRXUSDT,veterana,2018,BEAR,-40.3,-1.3,23.93,3,-1.3,23.93,3
TRXUSDT,veterana,2019,BEAR,-28.76,-14.35,45.86,7,-14.35,45.86,7
TRXUSDT,veterana,2020,BULL,101.28,168.4,37.73,5,168.4,37.73,5
TRXUSDT,veterana,2021,BULL,181.62,146.96,48.08,11,155.76,48.08,11
TRXUSDT,veterana,2022,BEAR,-27.68,-30.49,43.34,11,-30.49,43.34,11
TRXUSDT,veterana,2023,BULL,97.5,44.05,22.33,13,44.05,22.33,13
TRXUSDT,veterana,2024,BULL,136.71,121.34,43.86,7,119.03,43.86,7
TRXUSDT,veterana,2025,BULL,26.97,-27.87,41.04,10,-29.23,42.15,10
XRPUSDT,veterana,2018,LATERAL,-19.0,2.65,46.36,3,2.65,46.36,3
XRPUSDT,veterana,2019,BEAR,-44.66,-7.52,36.18,8,-7.52,36.18,8
XRPUSDT,veterana,2020,LATERAL,13.87,143.07,33.14,10,143.07,33.14,10
XRPUSDT,veterana,2021,BULL,277.94,244.56,55.87,6,244.56,55.87,6
XRPUSDT,veterana,2022,BEAR,-59.16,-21.2,40.25,10,-21.2,40.25,10
XRPUSDT,veterana,2023,BULL,81.65,14.62,29.04,13,19.46,29.04,13
XRPUSDT,veterana,2024,BULL,238.52,121.77,51.18,12,97.64,56.49,14
XRPUSDT,veterana,2025,BULL,42.12,-24.24,61.59,8,5.85,46.4,8
ZECUSDT,nova,2019,BEAR,-52.92,22.52,17.28,11,22.52,17.28,11
ZECUSDT,nova,2020,BULL,132.23,51.74,31.85,28,64.57,31.85,28
ZECUSDT,nova,2021,BULL,129.05,142.19,51.09,16,140.07,49.44,16
ZECUSDT,nova,2022,BEAR,-74.54,-28.31,44.91,16,-28.31,44.91,16
ZECUSDT,nova,2023,BEAR,-27.83,-41.13,44.87,18,-41.52,45.23,18
ZECUSDT,nova,2024,BULL,109.03,-36.9,62.99,26,-45.65,68.12,26
ZECUSDT,nova,2025,BEAR,-35.26,-10.02,30.56,11,-10.02,30.56,11
