Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_Base_%,Retorno_ScaleOut_%,BuyHold_%,DD_Base_%,DD_ScaleOut_%,Trades_Base,Trades_ScaleOut
FLOKIUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,702.9,914.31,406.9,34.94,34.94,23,14
FLOKIUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,83.0,83.85,-38.37,26.03,20.3,9,5
HBARUSDT,nova,8h,2019,2019-09-29 a 2019-12-31,BEAR,0.63,-13.93,-67.0,1.02,15.22,1,1
HBARUSDT,nova,8h,2020,2020-01-01 a 2020-12-31,BULL,120.9,171.18,211.55,62.47,53.93,14,9
HBARUSDT,nova,8h,2021,2021-01-01 a 2021-12-31,BULL,27.49,29.83,812.35,72.23,63.69,12,7
HBARUSDT,nova,8h,2022,2022-01-01 a 2022-12-31,BEAR,-43.46,-47.04,-87.42,44.18,47.71,6,5
HBARUSDT,nova,8h,2023,2023-01-01 a 2023-12-31,BULL,39.91,19.81,135.34,37.16,31.27,14,8
HBARUSDT,nova,8h,2024,2024-01-01 a 2024-12-31,BULL,-11.16,2.15,212.79,42.75,31.52,8,4
HBARUSDT,nova,8h,2025,2025-01-01 a 2025-08-01,LATERAL,-39.2,-33.29,-6.1,40.94,35.77,6,3
IMXUSDT,nova,6h,2022,2022-01-10 a 2022-12-31,BEAR,-59.22,-64.83,-89.76,68.56,73.05,13,8
IMXUSDT,nova,6h,2023,2023-01-01 a 2023-12-31,BULL,72.24,125.62,455.08,61.47,59.08,14,9
IMXUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BEAR,-26.07,-46.14,-37.79,45.61,50.61,9,7
IMXUSDT,nova,6h,2025,2025-01-01 a 2025-08-01,BEAR,-26.94,-22.11,-62.34,38.06,36.64,6,4
INJUSDT,nova,12h,2020,2020-10-21 a 2020-12-31,BULL,0.0,0.0,912.05,0.0,0.0,0,0
INJUSDT,nova,12h,2021,2021-01-01 a 2021-12-31,BULL,78.05,55.26,103.33,55.4,57.4,5,4
INJUSDT,nova,12h,2022,2022-01-01 a 2022-12-31,BEAR,-38.88,-6.44,-84.52,60.15,44.52,6,3
INJUSDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,239.48,149.46,2704.31,54.02,45.64,10,6
INJUSDT,nova,12h,2024,2024-01-01 a 2024-12-31,BEAR,-48.1,-31.35,-45.13,60.52,40.59,8,4
INJUSDT,nova,12h,2025,2025-01-01 a 2025-08-01,BEAR,-16.06,-19.48,-36.03,32.24,32.47,3,2
LINKUSDT,veterana,6h,2019,2019-01-16 a 2019-12-31,BULL,269.69,225.52,230.03,50.03,55.28,13,8
LINKUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,907.19,766.92,535.61,31.53,42.31,8,6
