Modo,ret_anual_pct,drawdown_pct,calmar,sharpe
DEFENSIVO,60.7,62.3,1.158,0.886
FILTRADO,62.7,58.5,1.219,0.909
AGRESSIVO,79.7,68.7,1.316,0.938
