Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Trades_Base,Retorno_VolFiltro_%,DD_VolFiltro_%,Trades_VolFiltro
LINKUSDT,veterana,2022,BEAR,-71.44,-53.9,59.93,15,-13.49,35.09,6
LINKUSDT,veterana,2023,BULL,168.0,118.41,24.35,14,22.02,22.3,10
LINKUSDT,veterana,2024,BULL,33.92,-7.43,45.4,17,18.41,32.92,12
LINKUSDT,veterana,2025,LATERAL,-18.63,-25.22,34.41,7,-17.37,29.4,5
PENGUUSDT,nova,2024,BULL,887.44,0.0,0.0,0,0.0,0.0,0
PENGUUSDT,nova,2025,LATERAL,0.85,-1.56,44.18,11,-12.17,46.25,7
PEPEUSDT,nova,2023,BEAR,-34.01,106.41,28.02,9,117.83,24.94,7
PEPEUSDT,nova,2024,BULL,1435.38,702.48,58.64,25,725.07,51.74,13
PEPEUSDT,nova,2025,BEAR,-46.49,16.59,40.51,11,6.82,29.88,8
RENDERUSDT,nova,2024,LATERAL,-3.39,51.06,18.99,8,7.76,10.91,3
RENDERUSDT,nova,2025,BEAR,-47.1,7.46,28.95,11,-3.22,25.92,3
SOLUSDT,veterana,2020,BEAR,-47.11,-12.42,26.47,1,-12.42,26.47,1
SOLUSDT,veterana,2021,BULL,11166.57,5446.63,47.3,9,6581.93,46.56,7
SOLUSDT,veterana,2022,BEAR,-94.14,-59.09,70.01,12,-43.73,58.75,8
SOLUSDT,veterana,2023,BULL,920.26,604.07,33.84,9,713.42,26.79,5
SOLUSDT,veterana,2024,BULL,86.11,-10.14,35.14,7,-8.99,29.45,5
SOLUSDT,veterana,2025,LATERAL,-14.05,-3.7,33.63,6,-12.53,31.04,3
SUIUSDT,nova,2023,BULL,675.2,10.96,20.79,6,-9.01,23.35,3
SUIUSDT,nova,2024,BULL,431.73,8.15,39.4,19,30.06,33.7,11
SUIUSDT,nova,2025,LATERAL,-14.22,11.18,31.09,9,66.26,23.42,5
TAOUSDT,nova,2024,LATERAL,0.27,44.33,25.63,11,42.6,26.52,10
TAOUSDT,nova,2025,LATERAL,-20.63,29.93,23.21,13,-3.34,23.21,10
TRXUSDT,veterana,2018,BEAR,-40.3,-1.3,23.93,3,-1.3,23.93,3
TRXUSDT,veterana,2019,BEAR,-28.76,-14.35,45.86,7,-12.42,40.65,5
TRXUSDT,veterana,2020,BULL,101.28,168.4,37.73,5,168.4,37.73,5
TRXUSDT,veterana,2021,BULL,181.62,146.96,48.08,11,81.63,50.05,7
TRXUSDT,veterana,2022,BEAR,-27.68,-30.49,43.34,11,-23.39,30.39,5
TRXUSDT,veterana,2023,BULL,97.5,44.05,22.33,13,11.32,20.76,4
TRXUSDT,veterana,2024,BULL,136.71,121.34,43.86,7,99.8,43.86,6
TRXUSDT,veterana,2025,BULL,26.97,-27.87,41.04,10,-21.66,22.73,4
XRPUSDT,veterana,2018,LATERAL,-19.0,2.65,46.36,3,2.65,46.36,3
