Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_ScaleOut_%,DD_ScaleOut_%,Retorno_ScaleOutTrailing_%,DD_ScaleOutTrailing_%
PEPEUSDT,nova,2023,BEAR,-34.01,103.95,27.15,66.66,33.89
PEPEUSDT,nova,2024,BULL,1435.38,397.78,55.4,558.71,50.6
PEPEUSDT,nova,2025,BEAR,-46.49,-14.86,35.27,-6.61,35.58
RENDERUSDT,nova,2024,LATERAL,-3.39,29.25,22.15,39.71,20.94
RENDERUSDT,nova,2025,BEAR,-47.1,-17.48,39.08,5.52,35.38
SOLUSDT,veterana,2020,BEAR,-47.11,-9.64,26.35,-9.64,26.35
SOLUSDT,veterana,2021,BULL,11166.57,6410.06,40.11,4170.82,49.25
SOLUSDT,veterana,2022,BEAR,-94.14,-56.37,61.67,-51.14,62.3
SOLUSDT,veterana,2023,BULL,920.26,349.96,30.62,521.06,41.19
SOLUSDT,veterana,2024,BULL,86.11,7.12,36.33,-15.97,40.06
SOLUSDT,veterana,2025,LATERAL,-14.05,-26.86,45.53,-10.43,38.58
SUIUSDT,nova,2023,BULL,675.2,18.52,18.5,-0.6,21.98
SUIUSDT,nova,2024,BULL,431.73,18.21,36.2,10.05,33.85
SUIUSDT,nova,2025,LATERAL,-14.22,17.4,32.43,15.13,28.5
TAOUSDT,nova,2024,LATERAL,0.27,82.29,20.94,27.16,25.5
TAOUSDT,nova,2025,LATERAL,-20.63,-3.7,40.93,14.94,30.15
TRXUSDT,veterana,2018,BEAR,-40.3,-5.52,22.81,-0.87,21.42
TRXUSDT,veterana,2019,BEAR,-28.76,-21.33,48.66,-13.99,42.4
TRXUSDT,veterana,2020,BULL,101.28,158.16,39.8,172.36,37.87
TRXUSDT,veterana,2021,BULL,181.62,175.56,49.64,210.94,46.41
TRXUSDT,veterana,2022,BEAR,-27.68,-30.57,40.76,-30.93,42.05
TRXUSDT,veterana,2023,BULL,97.5,44.2,20.66,26.62,16.24
TRXUSDT,veterana,2024,BULL,136.71,110.7,43.86,42.02,13.99
TRXUSDT,veterana,2025,BULL,26.97,-4.31,21.85,-22.97,32.81
