Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_%,BH_%,DD_%,Trades,Sharpe_janela
HBARUSDT,nova,8h,2023,2023-01-01 a 2023-12-31,BULL,39.91,135.34,37.16,14,0.873
HBARUSDT,nova,8h,2024,2024-01-01 a 2024-12-31,BULL,-11.16,212.79,42.75,8,-0.07
HBARUSDT,nova,8h,2025,2025-01-01 a 2025-08-06,LATERAL,-39.2,-9.08,40.94,6,-1.388
IMXUSDT,nova,6h,2022,2022-01-10 a 2022-12-31,BEAR,-59.22,-89.76,68.56,13,-1.356
IMXUSDT,nova,6h,2023,2023-01-01 a 2023-12-31,BULL,72.24,455.08,61.47,14,1.088
IMXUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BEAR,-26.07,-37.79,45.61,9,-0.695
IMXUSDT,nova,6h,2025,2025-01-01 a 2025-08-06,BEAR,-26.94,-61.66,38.06,6,-0.747
INJUSDT,nova,12h,2020,2020-10-21 a 2020-12-31,BULL,0.0,912.05,0.0,0,
INJUSDT,nova,12h,2021,2021-01-01 a 2021-12-31,BULL,78.05,103.33,55.4,5,1.03
INJUSDT,nova,12h,2022,2022-01-01 a 2022-12-31,BEAR,-38.88,-84.52,60.15,6,-0.124
INJUSDT,nova,12h,2023,2023-01-01 a 2023-12-31,BULL,239.48,2704.31,54.02,10,1.914
INJUSDT,nova,12h,2024,2024-01-01 a 2024-12-31,BEAR,-48.1,-45.13,60.52,8,-0.677
INJUSDT,nova,12h,2025,2025-01-01 a 2025-08-06,BEAR,-16.36,-34.1,32.24,4,-0.337
LINKUSDT,veterana,6h,2019,2019-01-16 a 2019-12-31,BULL,269.69,230.03,50.03,13,1.652
LINKUSDT,veterana,6h,2020,2020-01-01 a 2020-12-31,BULL,907.19,535.61,31.53,8,2.933
LINKUSDT,veterana,6h,2021,2021-01-01 a 2021-12-31,BULL,43.12,73.63,53.5,13,0.849
