Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Retorno_Cond_%,DD_Cond_%
PEPEUSDT,nova,2024,BULL,1435.38,702.48,58.64,397.78,55.4
PEPEUSDT,nova,2025,BEAR,-46.49,16.59,40.51,-14.86,35.27
RENDERUSDT,nova,2024,LATERAL,-3.39,51.06,18.99,29.25,22.15
RENDERUSDT,nova,2025,BEAR,-47.1,7.46,28.95,-17.48,39.08
SOLUSDT,veterana,2020,BEAR,-47.11,-12.42,26.47,-9.64,26.35
SOLUSDT,veterana,2021,BULL,11166.57,5446.63,47.3,6410.06,40.11
SOLUSDT,veterana,2022,BEAR,-94.14,-59.09,70.01,-59.09,70.01
SOLUSDT,veterana,2023,BULL,920.26,604.07,33.84,352.03,33.84
SOLUSDT,veterana,2024,BULL,86.11,-10.14,35.14,7.12,36.33
SOLUSDT,veterana,2025,LATERAL,-14.05,-3.7,33.63,-21.88,41.82
SUIUSDT,nova,2023,BULL,675.2,10.96,20.79,18.52,18.5
SUIUSDT,nova,2024,BULL,431.73,8.15,39.4,18.21,36.2
SUIUSDT,nova,2025,LATERAL,-14.22,11.18,31.09,17.4,32.43
TAOUSDT,nova,2024,LATERAL,0.27,44.33,25.63,82.29,20.94
TAOUSDT,nova,2025,LATERAL,-20.63,29.93,23.21,-3.7,40.93
TRXUSDT,veterana,2018,BEAR,-40.3,-1.3,23.93,-1.3,23.93
TRXUSDT,veterana,2019,BEAR,-28.76,-14.35,45.86,-25.03,52.09
TRXUSDT,veterana,2020,BULL,101.28,168.4,37.73,169.1,37.73
TRXUSDT,veterana,2021,BULL,181.62,146.96,48.08,175.56,49.64
TRXUSDT,veterana,2022,BEAR,-27.68,-30.49,43.34,-30.49,43.34
TRXUSDT,veterana,2023,BULL,97.5,44.05,22.33,41.64,21.6
TRXUSDT,veterana,2024,BULL,136.71,121.34,43.86,110.7,43.86
TRXUSDT,veterana,2025,BULL,26.97,-27.87,41.04,-12.31,24.4
XRPUSDT,veterana,2018,LATERAL,-19.0,2.65,46.36,2.65,46.36
XRPUSDT,veterana,2019,BEAR,-44.66,-7.52,36.18,-15.96,39.87
XRPUSDT,veterana,2020,LATERAL,13.87,143.07,33.14,124.24,39.99
XRPUSDT,veterana,2021,BULL,277.94,244.56,55.87,160.67,56.76
XRPUSDT,veterana,2022,BEAR,-59.16,-21.2,40.25,-21.2,40.25
XRPUSDT,veterana,2023,BULL,81.65,14.62,29.04,30.53,24.16
XRPUSDT,veterana,2024,BULL,238.52,121.77,51.18,91.17,37.25
XRPUSDT,veterana,2025,BULL,42.12,-24.24,61.59,-25.38,55.65
ZECUSDT,nova,2019,BEAR,-52.92,22.52,17.28,15.67,21.14
ZECUSDT,nova,2020,BULL,132.23,51.74,31.85,76.25,30.93
ZECUSDT,nova,2021,BULL,129.05,142.19,51.09,134.89,36.08
ZECUSDT,nova,2022,BEAR,-74.54,-28.31,44.91,-28.31,44.91
ZECUSDT,nova,2023,BEAR,-27.83,-41.13,44.87,-37.29,41.88
ZECUSDT,nova,2024,BULL,109.03,-36.9,62.99,-44.67,58.34
ZECUSDT,nova,2025,BEAR,-35.26,-10.02,30.56,-2.51,33.24
