Modo,retorno_total_pct,retorno_anual_pct,drawdown_pct,calmar,sharpe,capital_final
DEFENSIVO,-1.98,-3.23,18.22,-0.177,0.183,980.18
FILTRADO,-1.98,-3.23,18.22,-0.177,0.183,980.18
AGRESSIVO,-2.96,-4.8,25.55,-0.1877,0.2117,970.44
